prompt_chars,concurrency,max_tokens,stream,requests,errors,median_ttft_ms,p90_ttft_ms,median_total_ms,p90_total_ms,median_output_chars,median_chunks
128,1,64,False,3,0,233.09698211960495,532.0521709509194,233.10023709200323,532.055992865935,172,1
128,2,64,False,6,0,247.3466225201264,257.958727190271,247.35127354506403,257.96247413381934,173.5,1.0
128,4,64,False,12,0,238.2011089939624,240.62087899073958,238.20429597981274,240.62322988174856,178.0,1.0
128,8,64,False,24,0,470.71022260934114,487.6254659611732,470.7132244948298,487.6278550364077,159.0,1.0
512,1,64,False,3,0,242.3445601016283,245.64705416560173,242.34841600991786,245.6530041527003,159,1
512,2,64,False,6,0,250.64821657724679,253.48783005028963,250.6522430339828,253.49264405667782,158.0,1.0
512,4,64,False,12,0,237.05641005653888,245.60252111405134,237.05915547907352,245.60500402003527,163.5,1.0
512,8,64,False,24,0,473.91254315152764,481.5779870841652,473.9163116319105,481.581490021199,158.5,1.0
1024,1,64,False,3,0,249.70443709753454,249.7602910734713,249.70789812505245,249.7649050783366,121,1
1024,2,64,False,6,0,256.7973874974996,260.09076181799173,256.80178753100336,260.09437697939575,181.0,1.0
1024,4,64,False,12,0,255.79100055620074,269.1357280127704,255.79492549877614,269.13959020748734,172.0,1.0
1024,8,64,False,24,0,503.5781660117209,510.61030896380544,503.58394952490926,510.61350386589766,153.5,1.0
