prompt_chars,concurrency,max_tokens,temperature,top_p,stream,requests,errors,median_ttft_ms,p90_ttft_ms,median_total_ms,p90_total_ms,median_output_chars,median_chunks
128,1,64,0.0,1.0,False,3,0,237.14840016327798,516.4093838538975,237.15396015904844,516.4140118286014,159,1
128,2,64,0.0,1.0,False,6,0,246.01789645384997,255.27037889696658,246.02145701646805,255.2731060422957,159.0,1.0
128,4,64,0.0,1.0,False,12,0,235.53884215652943,244.93587692268193,235.54181505460292,244.93826390244067,159.0,1.0
128,8,64,0.0,1.0,False,24,0,468.62953598611057,476.7706769052893,468.633794458583,476.77483689039946,159.0,1.0
512,1,64,0.0,1.0,False,3,0,234.40669802948833,238.40057896450162,234.4094489235431,238.40426583774388,159,1
512,2,64,0.0,1.0,False,6,0,242.68856807611883,244.0835719462484,242.6913675153628,244.08733402378857,159.0,1.0
512,4,64,0.0,1.0,False,12,0,238.43155556824058,239.8782919626683,238.43453312292695,239.88122399896383,159.0,1.0
512,8,64,0.0,1.0,False,24,0,474.3234715424478,478.6389418877661,474.3265251163393,478.64321805536747,159.0,1.0
1024,1,64,0.0,1.0,False,3,0,230.54816108196974,233.97122113965452,230.55183701217175,233.97520300932229,159,1
1024,2,64,0.0,1.0,False,6,0,242.9952984675765,243.09087893925607,242.99840000458062,243.0938829202205,159.0,1.0
1024,4,64,0.0,1.0,False,12,0,236.2958835437894,238.3900498971343,236.2984805367887,238.39301685802639,159.0,1.0
1024,8,64,0.0,1.0,False,24,0,468.29669491853565,479.48802285827696,468.2997295167297,479.49266992509365,159.0,1.0
