prompt_chars,concurrency,max_tokens,temperature,top_p,stream,requests,errors,median_ttft_ms,p90_ttft_ms,median_total_ms,p90_total_ms,median_output_chars,median_chunks
128,1,64,0.0,1.0,False,3,0,228.8813281338662,525.7293090689927,228.8844990544021,525.7336469367146,159,1
128,2,64,0.0,1.0,False,6,0,459.19572201091796,463.8740869704634,459.1992616187781,463.877442991361,159.0,1.0
128,4,64,0.0,1.0,False,12,0,911.4219225011766,922.8537569288164,911.4250915590674,922.8572589345276,159.0,1.0
128,8,64,0.0,1.0,False,24,0,1750.6404289742932,1762.6598519273102,1750.64416998066,1762.6658959779888,159.0,1.0
512,1,64,0.0,1.0,False,3,0,225.53548496216536,228.89754991047084,225.53942003287375,228.9024218916893,159,1
512,2,64,0.0,1.0,False,6,0,448.03418044466525,454.84113483689725,448.03704996593297,454.8440179787576,159.0,1.0
512,4,64,0.0,1.0,False,12,0,905.4740484571084,910.8717921189964,905.4773069219664,910.874777007848,159.0,1.0
512,8,64,0.0,1.0,False,24,0,1764.7010926157236,1776.3961281161755,1764.704050612636,1776.3994799461216,159.0,1.0
1024,1,64,0.0,1.0,False,3,0,225.96644214354455,227.96783596277237,225.9701299481094,227.97367186285555,159,1
1024,2,64,0.0,1.0,False,6,0,449.03820648323745,459.4439468346536,449.0414879983291,459.44725000299513,159.0,1.0
1024,4,64,0.0,1.0,False,12,0,897.1383469179273,902.4348410312086,897.1424024784938,902.4379050824791,159.0,1.0
1024,8,64,0.0,1.0,False,24,0,1796.2079293793067,1834.1934140771627,1796.212696004659,1834.1993121430278,159.0,1.0
