prompt_chars,concurrency,max_tokens,stream,requests,errors,median_ttft_ms,p90_ttft_ms,median_total_ms,p90_total_ms,median_output_chars,median_chunks
128,1,64,False,3,0,227.68524917773902,600.316678872332,227.68846503458917,600.3203219734132,199,1
128,2,64,False,6,0,445.45003748498857,450.3343300893903,445.4533915268257,450.33718389458954,173.5,1.0
128,4,64,False,12,0,890.5052569461986,894.5978360716254,890.5085790902376,894.6013068780303,168.5,1.0
128,8,64,False,24,0,1791.4659980451688,1817.2730978112668,1791.4690874749795,1817.2781870234758,167.0,1.0
512,1,64,False,3,0,229.649409186095,230.5165519937873,229.6522599644959,230.52017204463482,130,1
512,2,64,False,6,0,462.0270411251113,465.32900794409215,462.0302044786513,465.33275581896305,143.0,1.0
512,4,64,False,12,0,911.4694704767317,934.6135619562119,911.4738116040826,934.6165310125798,173.5,1.0
512,8,64,False,24,0,1855.3209964884445,1870.768401073292,1855.3258425090462,1870.7722900435328,196.0,1.0
1024,1,64,False,3,0,227.15005604550242,228.931870078668,227.15534595772624,228.93765522167087,223,1
1024,2,64,False,6,0,412.9517315886915,461.43143996596336,412.9565964685753,461.43454499542713,138.0,1.0
1024,4,64,False,12,0,939.9728388525546,946.449609939009,939.9762528482825,946.4527620002627,176.5,1.0
1024,8,64,False,24,0,1858.9749609818682,1874.3100280407816,1858.9907895075157,1874.3133088573813,150.0,1.0
