-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                              nanovllm_profile_generate        28.36%     119.156ms       100.00%     420.218ms     420.218ms       0.000us         0.00%      24.779ms      24.779ms           0 B      -2.00 KB           0 B    -172.93 MB             1
                                               aten::mm         6.49%      27.273ms         8.67%      36.452ms      17.259us      18.391ms        63.06%      18.398ms       8.711us           0 B           0 B      81.52 MB      81.52 MB          2112
## Call CompiledFxGraph fqngq4j3ttt4eihwvobmrowolr74...         6.29%      26.434ms         9.85%      41.399ms      40.428us       0.000us         0.00%       1.299ms       1.268us           0 B           0 B      23.81 MB      23.81 MB          1024
                               TorchDynamo Cache Lookup         5.38%      22.589ms         5.38%      22.589ms       7.203us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3136
## Call CompiledFxGraph fhf7wdejvnq2i7owq7wt6uocbdts...         5.15%      21.642ms         8.21%      34.512ms      33.703us       0.000us         0.00%       1.299ms       1.268us           0 B           0 B      11.91 MB      11.91 MB          1024
                             Torch-Compiled Region: 2/1         4.55%      19.123ms        16.11%      67.693ms      66.106us       0.000us         0.00%       1.299ms       1.268us           0 B           0 B      23.81 MB           0 B          1024
                                         cuLaunchKernel         4.39%      18.463ms         4.39%      18.463ms       3.205us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          5760
                                      Pregraph bytecode         3.96%      16.625ms         3.96%      16.625ms       5.301us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3136
## Call CompiledFxGraph f7fqxmeuurldvft22jdrlxdofzsb...         3.86%      16.229ms         6.52%      27.381ms      53.479us       0.000us         0.00%       1.575ms       3.075us           0 B           0 B      11.91 MB      11.90 MB           512
