-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                              nanovllm_profile_generate         0.00%       0.000us         0.00%       0.000us       0.000us     417.773ms      1432.36%     417.773ms     417.773ms           0 B           0 B           0 B           0 B             1
                              nanovllm_profile_generate        28.36%     119.156ms       100.00%     420.218ms     420.218ms       0.000us         0.00%      24.779ms      24.779ms           0 B      -2.00 KB           0 B    -172.93 MB             1
                                           aten::linear         0.74%       3.121ms        11.83%      49.699ms      23.532us       0.000us         0.00%      18.398ms       8.711us           0 B           0 B      81.52 MB           0 B          2112
                                           aten::matmul         0.60%       2.508ms         9.27%      38.960ms      18.447us       0.000us         0.00%      18.398ms       8.711us           0 B           0 B      81.52 MB           0 B          2112
                                               aten::mm         6.49%      27.273ms         8.67%      36.452ms      17.259us      18.391ms        63.06%      18.398ms       8.711us           0 B           0 B      81.52 MB      81.52 MB          2112
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      13.780ms        47.25%      13.780ms       8.744us           0 B           0 B           0 B           0 B          1576
## Call CompiledFxGraph f7fqxmeuurldvft22jdrlxdofzsb...         0.00%       0.000us         0.00%       0.000us       0.000us      10.432ms        35.77%      10.432ms      20.375us           0 B           0 B           0 B           0 B           512
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.522ms        12.07%       3.522ms       6.987us           0 B           0 B           0 B           0 B           504
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       3.113ms        10.67%       3.113ms       6.177us           0 B           0 B           0 B           0 B           504
