-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                              nanovllm_profile_generate        28.14%     244.252ms       100.00%     868.012ms     868.012ms       0.000us         0.00%      49.917ms      49.917ms             1
                                               aten::mm         6.30%      54.652ms         8.28%      71.852ms      17.010us      36.616ms        62.44%      36.625ms       8.671us          4224
## Call CompiledFxGraph fqngq4j3ttt4eihwvobmrowolr74...         6.12%      53.080ms         9.62%      83.529ms      40.786us       0.000us         0.00%       2.590ms       1.264us          2048
                               TorchDynamo Cache Lookup         5.40%      46.915ms         5.40%      46.915ms       7.331us       0.000us         0.00%       0.000us       0.000us          6400
## Call CompiledFxGraph fhf7wdejvnq2i7owq7wt6uocbdts...         4.98%      43.223ms         7.99%      69.349ms      33.862us       0.000us         0.00%       2.590ms       1.265us          2048
                             Torch-Compiled Region: 2/1         4.51%      39.163ms        15.81%     137.199ms      66.992us       0.000us         0.00%       2.590ms       1.264us          2048
                                         cuLaunchKernel         4.28%      37.175ms         4.28%      37.175ms       3.192us       0.000us         0.00%       0.000us       0.000us         11648
                                      Pregraph bytecode         4.16%      36.100ms         4.16%      36.100ms       5.641us       0.000us         0.00%       0.000us       0.000us          6400
## Call CompiledFxGraph f7fqxmeuurldvft22jdrlxdofzsb...         3.80%      32.984ms         6.40%      55.543ms      54.241us       0.000us         0.00%       3.168ms       3.093us          1024
                             Torch-Compiled Region: 0/3         3.79%      32.873ms        14.00%     121.482ms      59.317us       0.000us         0.00%       2.590ms       1.265us          2048
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         2.86%      24.827ms         3.75%      32.587ms      14.975us       2.746ms         4.68%       2.746ms       1.262us          2176
## Call CompiledFxGraph fjsyhxoym3b7iqibtij4bzinbv3v...         2.40%      20.840ms         3.73%      32.415ms      31.655us       0.000us         0.00%       1.241ms       1.211us          1024
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         2.13%      18.511ms         3.01%      26.125ms      12.757us       2.589ms         4.42%       2.590ms       1.265us          2048
                             Torch-Compiled Region: 3/1         2.04%      17.718ms         6.56%      56.963ms      55.628us       0.000us         0.00%       1.241ms       1.211us          1024
triton_poi_fused__to_copy_add_cat_index_mul_split_su...         1.91%      16.541ms         2.60%      22.559ms      11.015us       3.168ms         5.40%       3.168ms       1.547us          2048
                 AOTDispatcher Runtime Wrapper Prologue         1.83%      15.922ms         1.83%      15.922ms       2.488us       0.000us         0.00%       0.000us       0.000us          6400
                             Torch-Compiled Region: 1/1         1.74%      15.132ms         9.16%      79.545ms      77.680us       0.000us         0.00%       3.168ms       3.093us          1024
