-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                              nanovllm_profile_generate         0.00%       0.000us         0.00%       0.000us       0.000us     866.166ms      1477.04%     866.166ms     866.166ms             1
                              nanovllm_profile_generate        28.14%     244.252ms       100.00%     868.012ms     868.012ms       0.000us         0.00%      49.917ms      49.917ms             1
                                           aten::linear         0.82%       7.075ms        11.51%      99.885ms      23.647us       0.000us         0.00%      36.625ms       8.671us          4224
                                           aten::matmul         0.61%       5.323ms         8.89%      77.175ms      18.271us       0.000us         0.00%      36.625ms       8.671us          4224
                                               aten::mm         6.30%      54.652ms         8.28%      71.852ms      17.010us      36.616ms        62.44%      36.625ms       8.671us          4224
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      27.813ms        47.43%      27.813ms       8.757us          3176
## Call CompiledFxGraph f7fqxmeuurldvft22jdrlxdofzsb...         0.00%       0.000us         0.00%       0.000us       0.000us      21.444ms        36.57%      21.444ms      20.941us          1024
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       7.086ms        12.08%       7.086ms       6.975us          1016
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       6.489ms        11.06%       6.489ms       6.386us          1016
## Call CompiledFxGraph f4ne4huo5oztnfciafgvkov6qksd...         0.00%       0.000us         0.00%       0.000us       0.000us       5.795ms         9.88%       5.795ms      45.271us           128
                             Torch-Compiled Region: 1/1         1.74%      15.132ms         9.16%      79.545ms      77.680us       0.000us         0.00%       3.168ms       3.093us          1024
## Call CompiledFxGraph f7fqxmeuurldvft22jdrlxdofzsb...         3.80%      32.984ms         6.40%      55.543ms      54.241us       0.000us         0.00%       3.168ms       3.093us          1024
triton_poi_fused__to_copy_add_cat_index_mul_split_su...         1.91%      16.541ms         2.60%      22.559ms      11.015us       3.168ms         5.40%       3.168ms       1.547us          2048
triton_poi_fused__to_copy_add_cat_index_mul_split_su...         0.00%       0.000us         0.00%       0.000us       0.000us       3.168ms         5.40%       3.168ms       1.547us          2048
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         2.86%      24.827ms         3.75%      32.587ms      14.975us       2.746ms         4.68%       2.746ms       1.262us          2176
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us       2.746ms         4.68%       2.746ms       1.262us          2176
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       2.743ms         4.68%       2.743ms       2.700us          1016
