-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                              nanovllm_profile_generate        29.99%     232.435ms       100.00%     774.997ms     774.997ms       0.000us         0.00%      49.708ms      49.708ms             1
                                               aten::mm         6.62%      51.323ms         8.70%      67.428ms      15.963us      36.592ms        62.69%      36.598ms       8.664us          4224
                               TorchDynamo Cache Lookup         5.87%      45.463ms         5.87%      45.463ms       7.249us       0.000us         0.00%       0.000us       0.000us          6272
## Call CompiledFxGraph fqngq4j3ttt4eihwvobmrowolr74...         5.44%      42.136ms         9.18%      71.130ms      34.732us       0.000us         0.00%       2.589ms       1.264us          2048
                             Torch-Compiled Region: 2/1         4.65%      36.017ms        15.74%     121.998ms      59.569us       0.000us         0.00%       2.589ms       1.264us          2048
                                      Pregraph bytecode         4.46%      34.569ms         4.46%      34.569ms       5.512us       0.000us         0.00%       0.000us       0.000us          6272
                                         cuLaunchKernel         4.35%      33.699ms         4.35%      33.699ms       2.925us       0.000us         0.00%       0.000us       0.000us         11520
## Call CompiledFxGraph fhf7wdejvnq2i7owq7wt6uocbdts...         4.27%      33.056ms         7.40%      57.377ms      28.016us       0.000us         0.00%       2.586ms       1.263us          2048
                             Torch-Compiled Region: 0/3         3.85%      29.819ms        13.68%     106.042ms      51.778us       0.000us         0.00%       2.586ms       1.263us          2048
## Call CompiledFxGraph f7fqxmeuurldvft22jdrlxdofzsb...         3.25%      25.209ms         6.02%      46.659ms      45.565us       0.000us         0.00%       3.158ms       3.084us          1024
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         3.09%      23.958ms         4.01%      31.050ms      14.269us       2.746ms         4.70%       2.746ms       1.262us          2176
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         2.25%      17.462ms         3.14%      24.321ms      11.875us       2.586ms         4.43%       2.586ms       1.263us          2048
## Call CompiledFxGraph fjsyhxoym3b7iqibtij4bzinbv3v...         2.12%      16.422ms         3.68%      28.556ms      27.886us       0.000us         0.00%       1.226ms       1.197us          1024
                             Torch-Compiled Region: 3/1         2.10%      16.257ms         6.66%      51.634ms      50.424us       0.000us         0.00%       1.226ms       1.197us          1024
triton_poi_fused__to_copy_add_cat_index_mul_split_su...         2.05%      15.903ms         2.77%      21.449ms      10.473us       3.158ms         5.41%       3.158ms       1.542us          2048
                 AOTDispatcher Runtime Wrapper Prologue         2.03%      15.770ms         2.03%      15.770ms       2.514us       0.000us         0.00%       0.000us       0.000us          6272
                             Torch-Compiled Region: 1/1         1.77%      13.743ms         8.91%      69.060ms      67.441us       0.000us         0.00%       3.158ms       3.084us          1024
