-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                              nanovllm_profile_generate         0.00%       0.000us         0.00%       0.000us       0.000us     772.855ms      1323.99%     772.855ms     772.855ms             1
                              nanovllm_profile_generate        29.99%     232.435ms       100.00%     774.997ms     774.997ms       0.000us         0.00%      49.708ms      49.708ms             1
                                           aten::linear         0.74%       5.745ms        11.50%      89.099ms      21.093us       0.000us         0.00%      36.598ms       8.664us          4224
                                           aten::matmul         0.51%       3.916ms         9.21%      71.344ms      16.890us       0.000us         0.00%      36.598ms       8.664us          4224
                                               aten::mm         6.62%      51.323ms         8.70%      67.428ms      15.963us      36.592ms        62.69%      36.598ms       8.664us          4224
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      27.733ms        47.51%      27.733ms       8.732us          3176
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       7.100ms        12.16%       7.100ms       6.988us          1016
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       6.493ms        11.12%       6.493ms       6.391us          1016
                             Torch-Compiled Region: 1/1         1.77%      13.743ms         8.91%      69.060ms      67.441us       0.000us         0.00%       3.158ms       3.084us          1024
## Call CompiledFxGraph f7fqxmeuurldvft22jdrlxdofzsb...         3.25%      25.209ms         6.02%      46.659ms      45.565us       0.000us         0.00%       3.158ms       3.084us          1024
triton_poi_fused__to_copy_add_cat_index_mul_split_su...         2.05%      15.903ms         2.77%      21.449ms      10.473us       3.158ms         5.41%       3.158ms       1.542us          2048
triton_poi_fused__to_copy_add_cat_index_mul_split_su...         0.00%       0.000us         0.00%       0.000us       0.000us       3.158ms         5.41%       3.158ms       1.542us          2048
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       2.767ms         4.74%       2.767ms       2.723us          1016
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         3.09%      23.958ms         4.01%      31.050ms      14.269us       2.746ms         4.70%       2.746ms       1.262us          2176
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us       2.746ms         4.70%       2.746ms       1.262us          2176
                             Torch-Compiled Region: 2/1         4.65%      36.017ms        15.74%     121.998ms      59.569us       0.000us         0.00%       2.589ms       1.264us          2048
## Call CompiledFxGraph fqngq4j3ttt4eihwvobmrowolr74...         5.44%      42.136ms         9.18%      71.130ms      34.732us       0.000us         0.00%       2.589ms       1.264us          2048
