-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                              nanovllm_profile_generate         0.00%       0.000us         0.00%       0.000us       0.000us      16.565ms      2495.58%      16.565ms      16.565ms             1
                              nanovllm_profile_generate        20.59%       4.008ms        99.97%      19.460ms      19.460ms       0.000us         0.00%     728.798us     728.798us             1
                                           aten::linear         0.33%      63.854us        33.90%       6.599ms     199.966us       0.000us         0.00%     474.974us      14.393us            33
                                           aten::matmul         0.26%      51.256us        32.82%       6.388ms     193.583us       0.000us         0.00%     474.974us      14.393us            33
                                               aten::mm         3.54%     688.529us        32.56%       6.337ms     192.030us     439.269us        66.18%     474.974us      14.393us            33
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     297.452us        44.81%     297.452us      12.394us            24
## Call CompiledFxGraph f7fqxmeuurldvft22jdrlxdofzsb...         0.00%       0.000us         0.00%       0.000us       0.000us     184.462us        27.79%     184.462us      23.058us             8
                                    FlashAttnVarlenFunc         1.73%     336.892us        11.98%       2.333ms     291.589us       0.000us         0.00%     131.450us      16.431us             8
                 flash_attn::_flash_attn_varlen_forward         1.41%     274.286us        10.10%       1.967ms     245.872us      95.846us        14.44%     131.450us      16.431us             8
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      97.895us        14.75%      97.895us      12.237us             8
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      95.846us        14.44%      95.846us      11.981us             8
## Call CompiledFxGraph f4ne4huo5oztnfciafgvkov6qksd...         0.00%       0.000us         0.00%       0.000us       0.000us      48.979us         7.38%      48.979us      48.979us             1
                       Runtime Triggered Module Loading        34.26%       6.668ms        34.26%       6.668ms       1.667ms      37.878us         5.71%      37.878us       9.469us             4
                                   cudaFuncSetAttribute         0.11%      21.148us         7.90%       1.537ms     192.136us       0.000us         0.00%      35.604us       4.451us             8
                                  Lazy Function Loading         0.66%     127.770us         0.66%     127.770us      42.590us      33.431us         5.04%      33.431us      11.144us             3
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         1.36%     264.174us         1.78%     345.972us      20.351us      30.077us         4.53%      30.077us       1.769us            17
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us      30.077us         4.53%      30.077us       1.769us            17
                             Torch-Compiled Region: 0/3         1.64%     319.236us         5.94%       1.156ms      72.273us       0.000us         0.00%      28.729us       1.796us            16
