-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                              nanovllm_profile_generate        28.05%     124.663ms       100.00%     444.355ms     444.355ms       0.000us         0.00%      25.711ms      25.711ms             1
                                               aten::mm         6.43%      28.555ms         8.59%      38.157ms      18.067us      18.967ms        62.53%      18.967ms       8.980us          2112
## Call CompiledFxGraph fqngq4j3ttt4eihwvobmrowolr74...         6.13%      27.249ms         9.62%      42.748ms      41.746us       0.000us         0.00%       1.312ms       1.281us          1024
                               TorchDynamo Cache Lookup         5.35%      23.773ms         5.35%      23.773ms       7.429us       0.000us         0.00%       0.000us       0.000us          3200
## Call CompiledFxGraph fhf7wdejvnq2i7owq7wt6uocbdts...         4.99%      22.157ms         7.93%      35.217ms      34.392us       0.000us         0.00%       1.326ms       1.294us          1024
                             Torch-Compiled Region: 2/1         4.48%      19.889ms        15.83%      70.353ms      68.704us       0.000us         0.00%       1.312ms       1.281us          1024
                                         cuLaunchKernel         4.41%      19.592ms         4.65%      20.683ms       3.551us       0.000us         0.00%       0.000us       0.000us          5824
                                      Pregraph bytecode         4.12%      18.327ms         4.12%      18.327ms       5.727us       0.000us         0.00%       0.000us       0.000us          3200
                             Torch-Compiled Region: 0/3         3.74%      16.611ms        13.86%      61.607ms      60.163us       0.000us         0.00%       1.326ms       1.294us          1024
## Call CompiledFxGraph f7fqxmeuurldvft22jdrlxdofzsb...         3.71%      16.475ms         6.28%      27.893ms      54.479us       0.000us         0.00%       1.592ms       3.110us           512
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         2.79%      12.402ms         3.74%      16.620ms      15.276us       1.388ms         4.58%       1.391ms       1.278us          1088
## Call CompiledFxGraph fjsyhxoym3b7iqibtij4bzinbv3v...         2.38%      10.592ms         3.69%      16.416ms      32.062us       0.000us         0.00%     624.132us       1.219us           512
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         2.05%       9.090ms         2.94%      13.061ms      12.755us       1.326ms         4.37%       1.326ms       1.294us          1024
                             Torch-Compiled Region: 3/1         2.02%       8.967ms         6.50%      28.867ms      56.381us       0.000us         0.00%     624.132us       1.219us           512
                 AOTDispatcher Runtime Wrapper Prologue         1.89%       8.383ms         1.89%       8.383ms       2.620us       0.000us         0.00%       0.000us       0.000us          3200
triton_poi_fused__to_copy_add_cat_index_mul_split_su...         1.87%       8.303ms         2.57%      11.419ms      11.151us       1.592ms         5.25%       1.592ms       1.555us          1024
                             Torch-Compiled Region: 1/1         1.68%       7.484ms         8.96%      39.827ms      77.788us       0.000us         0.00%       1.592ms       3.110us           512
