-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                              nanovllm_profile_generate         0.00%       0.000us         0.00%       0.000us       0.000us     442.026ms      1457.27%     442.026ms     442.026ms             1
                              nanovllm_profile_generate        28.05%     124.663ms       100.00%     444.355ms     444.355ms       0.000us         0.00%      25.711ms      25.711ms             1
                                           aten::linear         0.83%       3.668ms        11.93%      52.996ms      25.093us       0.000us         0.00%      18.967ms       8.980us          2112
                                           aten::matmul         0.61%       2.701ms         9.19%      40.857ms      19.345us       0.000us         0.00%      18.967ms       8.980us          2112
                                               aten::mm         6.43%      28.555ms         8.59%      38.157ms      18.067us      18.967ms        62.53%      18.967ms       8.980us          2112
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      13.840ms        45.63%      13.840ms       8.782us          1576
## Call CompiledFxGraph f7fqxmeuurldvft22jdrlxdofzsb...         0.00%       0.000us         0.00%       0.000us       0.000us      10.650ms        35.11%      10.650ms      20.800us           512
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.515ms        11.59%       3.515ms       6.974us           504
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       3.473ms        11.45%       3.473ms       6.890us           504
## Call CompiledFxGraph f4ne4huo5oztnfciafgvkov6qksd...         0.00%       0.000us         0.00%       0.000us       0.000us       2.923ms         9.64%       2.923ms      45.676us            64
                             Torch-Compiled Region: 1/1         1.68%       7.484ms         8.96%      39.827ms      77.788us       0.000us         0.00%       1.592ms       3.110us           512
## Call CompiledFxGraph f7fqxmeuurldvft22jdrlxdofzsb...         3.71%      16.475ms         6.28%      27.893ms      54.479us       0.000us         0.00%       1.592ms       3.110us           512
triton_poi_fused__to_copy_add_cat_index_mul_split_su...         1.87%       8.303ms         2.57%      11.419ms      11.151us       1.592ms         5.25%       1.592ms       1.555us          1024
triton_poi_fused__to_copy_add_cat_index_mul_split_su...         0.00%       0.000us         0.00%       0.000us       0.000us       1.592ms         5.25%       1.592ms       1.555us          1024
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         2.79%      12.402ms         3.74%      16.620ms      15.276us       1.388ms         4.58%       1.391ms       1.278us          1088
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us       1.388ms         4.58%       1.388ms       1.276us          1088
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       1.373ms         4.53%       1.373ms       2.724us           504
