-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                        bytecode_tracing (dynamo_timed)        25.94%     291.528ms        54.11%     608.110ms      55.283ms       0.000us         0.00%       0.000us       0.000us            11
                            build_guards (dynamo_timed)        13.52%     151.893ms        13.52%     151.893ms      13.808ms       0.000us         0.00%       0.000us       0.000us            11
                                    aten::empty_strided        12.63%     141.932ms        14.24%     160.004ms     267.119us       0.000us         0.00%       0.000us       0.000us           599
                                     PythonDispatchMode        12.36%     138.904ms        38.07%     427.801ms       1.296ms       0.000us         0.00%       1.504us       0.005us           330
          OutputGraph.call_user_compiler (dynamo_timed)        10.38%     116.675ms        13.32%     149.657ms      13.605ms       0.000us         0.00%       0.000us       0.000us            11
                       Runtime Triggered Module Loading         4.47%      50.191ms         4.47%      50.191ms       3.585ms      63.724us         1.48%      63.724us       4.552us            14
                              nanovllm_profile_generate         4.19%      47.090ms       100.00%        1.124s        1.124s       0.000us         0.00%       4.378ms       4.378ms             1
                       compile_attempt_0 (dynamo_timed)         1.89%      21.230ms        70.14%     788.208ms      71.655ms       0.000us         0.00%       0.000us       0.000us            11
                                             aten::set_         1.60%      17.987ms         1.60%      17.987ms     246.401us       0.000us         0.00%       0.000us       0.000us            73
                                                 dynamo         1.36%      15.301ms        86.29%     969.725ms      88.157ms       0.000us         0.00%       0.000us       0.000us            11
            PyCodeCache.load_by_key_path (dynamo_timed)         0.72%       8.117ms         1.30%      14.583ms       1.326ms       0.000us         0.00%       0.000us       0.000us            11
          AOTAutogradCache.inductor_load (dynamo_timed)         0.69%       7.775ms         2.23%      25.095ms       2.281ms       0.000us         0.00%       0.000us       0.000us            11
         insert_deferred_runtime_asserts (dynamo_timed)         0.66%       7.418ms         0.66%       7.418ms     674.370us       0.000us         0.00%       0.000us       0.000us            11
                  _compile.compile_inner (dynamo_timed)         0.64%       7.228ms        84.86%     953.679ms      86.698ms       0.000us         0.00%       0.000us       0.000us            11
                                             aten::mul_         0.60%       6.765ms         1.42%      15.969ms     665.386us       0.000us         0.00%       0.000us       0.000us            24
                                            aten::empty         0.43%       4.844ms         0.81%       9.080ms      18.799us       0.000us         0.00%       0.000us       0.000us           483
StaticAutotunerFuture.warm_precompile (dynamo_timed)...         0.38%       4.297ms         0.40%       4.453ms     404.792us       0.000us         0.00%       0.000us       0.000us            11
                                               aten::mm         0.36%       3.990ms         1.33%      14.929ms      56.548us       2.079ms        48.36%       2.138ms       8.098us           264
                                      gc (dynamo_timed)         0.34%       3.794ms         0.34%       3.794ms     344.946us       0.000us         0.00%       0.000us       0.000us            11
