-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                              nanovllm_profile_generate         0.00%       0.000us         0.00%       0.000us       0.000us        1.120s     26058.37%        1.120s        1.120s             1
                              nanovllm_profile_generate         4.19%      47.090ms       100.00%        1.124s        1.124s       0.000us         0.00%       4.378ms       4.378ms             1
                                           aten::linear         0.04%     461.611us         1.50%      16.832ms      63.756us       0.000us         0.00%       2.138ms       8.098us           264
                                           aten::matmul         0.03%     303.173us         1.36%      15.232ms      57.696us       0.000us         0.00%       2.138ms       8.098us           264
                                               aten::mm         0.36%       3.990ms         1.33%      14.929ms      56.548us       2.079ms        48.36%       2.138ms       8.098us           264
## Call CompiledFxGraph f5my64ot23v4g2tchyiitdbjgzoq...         0.00%       0.000us         0.00%       0.000us       0.000us       1.181ms        27.46%       1.181ms      21.082us            56
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     790.906us        18.39%     790.906us      12.358us            64
                                            aten::index         0.14%       1.616ms         0.75%       8.430ms      49.299us     549.151us        12.77%     552.638us       3.232us           171
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     539.474us        12.55%     539.474us       4.817us           112
                     aten::scaled_dot_product_attention         0.08%     954.225us         0.45%       5.013ms      78.331us       0.000us         0.00%     534.042us       8.344us            64
              aten::_scaled_dot_product_flash_attention         0.03%     312.877us         0.36%       4.059ms      63.422us       0.000us         0.00%     534.042us       8.344us            64
                         aten::_flash_attention_forward         0.06%     623.897us         0.31%       3.462ms      54.092us     497.667us        11.57%     534.042us       8.344us            64
void pytorch_flash::flash_fwd_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     466.539us        10.85%     466.539us       8.331us            56
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     433.240us        10.08%     433.240us       3.834us           113
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     432.502us        10.06%     432.502us       7.723us            56
## Call CompiledFxGraph f3ayn33vo2jtzantakncj5emygke...         0.00%       0.000us         0.00%       0.000us       0.000us     432.085us        10.05%     432.085us      54.011us             8
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.26%       2.871ms         0.35%       3.945ms      15.905us     300.879us         7.00%     300.879us       1.213us           248
     triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us     300.879us         7.00%     300.879us       1.213us           248
