Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.1,127084909,1591,79877.4,3201.0,2243,31472316,1078733.5,cudaLaunchKernel
9.5,18613880,432,43087.7,2280.0,1636,1101142,126046.3,cudaMemcpyAsync
7.6,14811236,4019,3685.3,3427.0,2057,39554,2197.1,cuLaunchKernel
7.3,14260610,10,1426061.0,1462756.0,69071,2383018,779154.9,cuLibraryLoadData
2.2,4311105,1225,3519.3,547.0,326,2723649,80150.5,cuKernelGetFunction
1.8,3474513,4,868628.3,900053.5,671745,1002661,155258.4,cudaGetDeviceProperties
1.4,2653717,6,442286.2,398565.5,104817,935763,271614.4,cudaFree
1.3,2503072,21,119193.9,74326.0,2299,781622,160481.7,cudaMalloc
1.1,2063638,16,128977.4,111460.0,98555,240205,39864.0,cuModuleLoad
1.0,2030769,144,14102.6,3769.0,1263,38170,14066.4,cudaStreamSynchronize
0.7,1419289,384,3696.1,3410.0,2754,29502,1716.3,cuLaunchKernelEx
0.3,616897,9,68544.1,8316.0,5105,522699,170440.7,cudaHostAlloc
0.2,466419,788,591.9,293.5,220,9535,1006.3,cudaStreamIsCapturing
0.2,305035,288,1059.1,634.0,497,10365,1074.8,cudaEventRecordWithFlags
0.1,250145,287,871.6,566.0,429,5212,744.6,cudaEventQuery
0.1,105267,838,125.6,107.0,68,982,77.6,cuGetProcAddress_v2
0.0,69924,1,69924.0,69924.0,69924,69924,0.0,cuModuleLoadData
0.0,52323,8,6540.4,5651.5,4406,10413,2488.9,cudaMemsetAsync
0.0,39968,15,2664.5,2723.0,364,5706,1621.8,cuLibraryGetKernel
0.0,16182,1,16182.0,16182.0,16182,16182,0.0,cudaMemGetInfo
0.0,11531,19,606.9,246.0,225,2819,806.5,cudaEventCreateWithFlags
0.0,6240,4,1560.0,1538.5,158,3005,1611.3,cuModuleGetLoadingMode
0.0,5977,4,1494.3,1639.5,880,1818,418.5,cuInit
0.0,5745,1,5745.0,5745.0,5745,5745,0.0,cudaDeviceSynchronize
0.0,1617,2,808.5,808.5,412,1205,560.7,cudaGetDriverEntryPoint
