Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.2,8519206,913,9331.0,7519.0,5630,16316,2941.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
8.0,2171228,368,5900.1,5919.0,5502,6591,254.4,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)96, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(flash::Flash_fwd_params)"
7.8,2119276,24,88303.2,100582.5,36310,129663,38905.5,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn
7.3,1990832,8,248854.0,248738.0,248130,250242,644.1,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
6.4,1739048,248,7012.3,7006.5,6654,7934,159.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
5.4,1471823,1073,1371.7,1248.0,1087,14300,1089.6,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0
4.4,1208303,784,1541.2,1504.0,1183,9757,786.5,triton_poi_fused__to_copy_add_cat_index_mul_split_sub_0
4.2,1148824,240,4786.8,4814.5,3263,6495,1427.5,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
4.2,1148289,24,47845.4,3951.0,3871,142429,63489.1,"void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)96, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(flash::Flash_fwd_params)"
3.8,1032744,392,2634.6,1215.0,991,75501,10138.4,triton_poi_fused_mul_silu_split_0
3.6,995681,368,2705.7,2719.0,2655,2752,31.4,"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)96, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (int)16, (int)1, (bool)1>(flash::Flash_fwd_params)"
3.3,913498,120,7612.5,7614.0,7358,8477,149.4,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
3.1,856592,544,1574.6,1248.0,1215,12861,1676.6,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0
