Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.7,125493933,1591,78877.4,3102.0,2064,30892699,1061366.0,cudaLaunchKernel
11.0,21737759,432,50318.9,2270.5,1591,1509334,154971.6,cudaMemcpyAsync
7.8,15303797,4019,3807.9,3506.0,2066,48388,2466.9,cuLaunchKernel
7.0,13767531,10,1376753.1,1457608.0,61187,2353323,753936.7,cuLibraryLoadData
2.1,4183316,1225,3415.0,574.0,335,2600421,77046.3,cuKernelGetFunction
1.9,3803163,4,950790.8,893205.5,673841,1342911,294406.6,cudaGetDeviceProperties
1.3,2596691,6,432781.8,378299.5,109552,865035,249099.2,cudaFree
1.3,2490552,21,118597.7,68061.0,2254,787405,162074.5,cudaMalloc
1.1,2140498,16,133781.1,120203.5,97923,302800,48759.7,cuModuleLoad
1.0,1944070,144,13500.5,3191.5,1352,38902,14076.1,cudaStreamSynchronize
0.8,1481306,384,3857.6,3492.5,2876,31258,1990.8,cuLaunchKernelEx
0.3,626567,9,69618.6,8400.0,4104,549612,180099.8,cudaHostAlloc
0.3,514142,788,652.5,307.0,233,9009,1071.4,cudaStreamIsCapturing
0.1,259356,288,900.5,591.5,489,5614,751.4,cudaEventRecordWithFlags
0.1,221702,287,772.5,531.0,405,3945,550.9,cudaEventQuery
0.1,103194,838,123.1,104.0,66,1360,88.9,cuGetProcAddress_v2
0.0,63424,1,63424.0,63424.0,63424,63424,0.0,cuModuleLoadData
0.0,44774,8,5596.8,4664.0,4160,8582,1823.7,cudaMemsetAsync
0.0,36720,15,2448.0,2691.0,292,4970,1407.1,cuLibraryGetKernel
0.0,16802,1,16802.0,16802.0,16802,16802,0.0,cudaMemGetInfo
0.0,9629,19,506.8,258.0,203,2049,512.0,cudaEventCreateWithFlags
0.0,6750,1,6750.0,6750.0,6750,6750,0.0,cudaDeviceSynchronize
0.0,6214,4,1553.5,1531.5,147,3004,1619.9,cuModuleGetLoadingMode
0.0,4003,4,1000.8,1033.0,612,1325,315.2,cuInit
0.0,1672,2,836.0,836.0,366,1306,664.7,cudaGetDriverEntryPoint
