Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
42.3,19762903121,17,1162523713.0,1317431639.0,70145,1318498984,437516379.6,pthread_cond_wait
19.3,9030930823,44,205248427.8,100124108.5,16353,1000095189,253225632.7,pthread_cond_timedwait
17.2,8048829435,93,86546553.1,100165104.0,1066,634491997,70502542.2,poll
7.6,3537754572,7910,447250.9,2544.5,1000,1821703991,22058011.2,read
5.9,2764508114,8,345563514.3,51684.0,1051,1000659182,482459307.4,epoll_pwait
4.8,2222026270,1,2222026270.0,2222026270.0,2222026270,2222026270,0.0,sem_clockwait
1.4,656445445,11,59676858.6,302622.0,46450,635441002,191039623.0,sem_wait
0.8,363950063,12,30329171.9,41082555.5,1016160,50135755,22154667.4,clock_nanosleep
0.2,102494835,16,6405927.2,5960831.0,5644564,9722039,1046350.0,fork
0.2,100623510,855,117688.3,5770.0,1014,9887081,493211.1,ioctl
0.1,63072374,39052,1615.1,1228.0,1000,1715452,9121.2,munmap
0.0,18258578,51,358011.3,3128.0,1012,18034262,2524676.7,waitpid
0.0,12673786,5319,2382.7,1440.0,1000,570064,9923.7,mmap64
0.0,11715826,7204,1626.3,1286.0,1000,32969,1370.3,stat64
0.0,10529962,6025,1747.7,1468.0,1000,35669,1255.7,open64
0.0,10182475,2,5091237.5,5091237.5,5089515,5092960,2436.0,nanosleep
0.0,2543164,34,74798.9,59447.5,55048,416517,67680.5,sleep
0.0,2227376,16,139211.0,17522.5,5244,1118655,276601.2,pthread_join
0.0,2159734,2,1079867.0,1079867.0,1249,2158485,1525396.2,pread
0.0,1460088,11,132735.3,103946.0,54198,377926,98942.5,sem_timedwait
0.0,1140296,30,38009.9,33637.5,13483,119810,22566.7,pthread_create
0.0,896877,254,3531.0,2337.0,1048,27729,3500.0,fgets
0.0,672215,213,3155.9,1196.0,1000,156627,13762.9,lstat64
0.0,647343,51,12693.0,4848.0,1266,141663,25258.2,mmap
0.0,510668,5,102133.6,87766.0,12094,223595,94263.6,recv
0.0,437201,224,1951.8,1393.0,1000,20309,1897.9,close
0.0,313372,39,8035.2,6206.0,1566,47032,8051.1,fread
0.0,286824,86,3335.2,2597.0,1006,15367,2711.1,fopen
0.0,278509,25,11140.4,12064.0,1254,24533,6668.0,fopen64
0.0,263123,59,4459.7,3422.0,1014,29649,4136.8,pthread_cond_signal
0.0,262627,38,6911.2,4830.0,1059,28903,6297.7,write
0.0,162905,48,3393.9,3492.5,1000,9179,2129.3,pipe2
0.0,104629,7,14947.0,6643.0,3812,42260,15083.8,send
0.0,104617,57,1835.4,1619.0,1021,3908,757.6,fclose
0.0,92423,25,3696.9,3051.0,1044,15190,3033.2,open
0.0,67072,3,22357.3,9978.0,6936,50158,24124.1,connect
0.0,63838,7,9119.7,5563.0,2680,32270,10344.3,socket
0.0,53968,26,2075.7,1119.5,1000,6362,1701.4,fstat64
0.0,30799,6,5133.2,5780.0,1101,7494,2241.7,close_range
0.0,17087,5,3417.4,1931.0,1047,9255,3449.6,statx
0.0,12434,2,6217.0,6217.0,5965,6469,356.4,fflush
0.0,12390,1,12390.0,12390.0,12390,12390,0.0,pthread_mutex_lock
0.0,10308,4,2577.0,2043.5,1370,4851,1626.4,bind
0.0,7114,2,3557.0,3557.0,3139,3975,591.1,pthread_cond_broadcast
0.0,6766,3,2255.3,1490.0,1438,3838,1370.9,sigaction
0.0,6530,1,6530.0,6530.0,6530,6530,0.0,accept4
0.0,5491,3,1830.3,1245.0,1086,3160,1154.3,stat
0.0,4406,2,2203.0,2203.0,1160,3246,1475.0,epoll_ctl
0.0,3287,1,3287.0,3287.0,3287,3287,0.0,mprotect
0.0,2543,2,1271.5,1271.5,1102,1441,239.7,fwrite
0.0,1705,1,1705.0,1705.0,1705,1705,0.0,fputs
0.0,1623,1,1623.0,1623.0,1623,1623,0.0,listen
0.0,1450,1,1450.0,1450.0,1450,1450,0.0,fdopen
0.0,1425,1,1425.0,1425.0,1425,1425,0.0,pthread_mutex_trylock
0.0,1163,1,1163.0,1163.0,1163,1163,0.0,fcntl
0.0,1116,1,1116.0,1116.0,1116,1116,0.0,getc
0.0,1031,1,1031.0,1031.0,1031,1031,0.0,fcntl64
