"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","10.12","10.18","10.15"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM Frequency","Ghz","2.50","2.52","2.51"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","16,762.00","16,997.00","16,839.00"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","Memory Throughput","%","3.69","3.74","3.72"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","DRAM Throughput","%","3.69","3.74","3.72"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","Duration","us","6.66","6.78","6.70"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","15.56","15.72","15.66"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","Waves Per SM","","0.12","0.12","0.12"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","L2 Cache Throughput","%","2.10","2.23","2.16"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM Active Cycles","cycle","1,071.34","1,082.17","1,075.92"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","1.12","1.15","1.15"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","Memory Throughput","%","3.69","3.74","3.72"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","1.12","1.15","1.15"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","IDC: Request Cycles Active","%","0.01","0.01","0.01"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM: Inst Executed","%","0.57","0.58","0.58"
